movieId,title,Drama,Documentary,Adventure,Sci-Fi,Musical,War,Horror,Film-Noir,Comedy,Thriller,Mystery,Romance,Action,Children,Animation,Crime,IMAX,Western,Fantasy,year
79607,"Millions Game, The (Das Millionenspiel)",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
123619,Terrible Joe Moran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125571,The Court-Martial of Jackie Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125632,In Our Garden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125958,Stephen Fry In America - New World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126438,Two: The Story of Roman & Nyro,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127005,A Year Along the Abandoned Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128612,Body/Cialo,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
128734,Polskie gówno,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
129651,The Third Reich: The Rise & Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129697,La vendetta dei barbari,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
129705,My Own Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129887,Moving Alan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130322,Zone 261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
130454,Michael Laudrup - en Fodboldspiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130542,Honky,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131198,Blueberry Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131225,Pleasure Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131280,Terror on the 40th Floor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131606,My Boyfriend's Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132000,One Night Only,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
132948,Doli Saja Ke Rakhna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133276,The Dead Lands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
134254,"C'mon, Let's Live a Little",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134908,For a Book of Dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135354,Twins from Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135691,Señorita Justice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136028,Flash and Firecat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136299,Red Victoria,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
136880,Vaastupurush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137284,Sierra Leone's Refugee All Stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137292,L'uomo della carità,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137411,The Big Fall,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
137443,Wolves In The Snow,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,
137845,Amazon Falls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137990,Dark Tides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138042,The Ritual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138120,The Expedition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138518,Chinese Boxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139596,Danielův svět,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140129,The Near Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140224,Filmage: The Story of Descendents/All,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140377,About Sarah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140605,La steppa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140874,Swallows and Amazons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140956,Ready Player One,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
141442,Los tontos y los estúpidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141507,Ride in a Pink Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141708,Disaster Playground,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141745,Nice Guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141858,"OMG, I'm a Robot!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141930,KillerSaurus,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
142490,Viva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142913,Ollaan vapaita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143410,Hyena Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144054,Asphalt Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144528,Fakta Ladh Mhana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144726,Man Crazy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145650,Roger la Honte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146010,Sentimentalnyy roman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146082,Yedyanchi Jatra,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
146106,Dhadakebaaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146112,Ittefaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146344,Elämältä kaiken sain,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
146364,Dil Kya Kare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146370,Hogi Pyar Ki Jeet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146429,Monk by Blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146463,I Am Syd Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146475,Alone With People,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
146740,Proibito Rubare - Luigi Comencini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146796,Le strelle nel fosso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147188,38 Parrots,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
147250,The Adventures of Sherlock Holmes and Doctor Watson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147450,Amigo Undead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
148093,The Republic ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,
148254,A Dark Place Inside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
148677,Ουζερί Τσιτσάνης,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149009,She Who Must Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149080,A Fare to Remember,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149090,The Code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149296,Unlocking the Cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149334,Nocturnal Animals,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
149502,101次求婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149715,S: Saigo no Keikan - Dakkan: Recovery of Our Future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149757,The Frog Prince,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
150020,Vrijdag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150655,Aimy in a Cage,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
150657,Trophy Kids,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150868,Jasne Błękitne Okna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150888,Mr. Kuka's Advice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151307,The Lovers and the Despot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151517,Beauty and the Breast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151655,Hundra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
151693,Holy Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151955,Veljet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151967,Pyaar Tune Kya Kiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152523,"Vous êtes très jolie, mademoiselle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152808,Main Madhuri Dixit Banna Chahti Hoon!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152814,Dhund: The Fog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
152840,The Grave Digger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152884,Vaastu Shastra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153184,Vergeef me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153714,Vogelfrei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153967,Jew Like Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153973,Langer Licht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154184,Family Film,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154386,Normaal: Ik Kom Altied Weer Terug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154530,Recto / verso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154538,Sins of the mind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155121,Kshanam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155593,Pawn's Move,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155621,If These Knishes Could Talk: The Story of the NY Accent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156175,Mapplethorpe: Look at the Pictures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156571,The Twin Girls of Sunset Street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156591,Absent Minded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156605,Paterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157703,The Kid from Broken Gun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157787,.hack Liminality: In the Case of Mai Minase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157789,.hack Liminality In the Case of Yuki Aihara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157791,.hack Liminality In the Case of Kyoko Tohno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158312,Citizen King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158870,The Monkey King the Legend Begins,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
159125,Anybody's Son Will Do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159217,The Identity Theft of Mitch Mustain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159257,6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159259,The Serious Game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
